version,label,method,status,scope,correct,cpu_s,wall_s,memory_sum_b,paired_memory_delta_pct,optimization_start,optimization_end,optimization_duration_minutes,correct_vs_baseline,cpu_vs_baseline_pct,wall_vs_baseline_pct,source
0,Baseline,Pristine cloned Deagle,baseline,exact725,444,12737.303,12762.179,68299001856,0,,,,0,0,0,source-records/shallow-counterexample-full-v46-20260723/conclusion.md
1,V1,Watched CO-FR Event-Driven Shadow,failed,target_or_audit,,,,,,2026-07-22T14:48:45.000Z,2026-07-22T14:52:17.889Z,3.548153456052144,,,,source-records/watched-cofr-event-driven-shadow-20260722/conclusion.md
2,V2,Watched CO-FR Event-Driven Shadow Repair,audit,target_or_audit,,,,,,2026-07-22T14:53:21.000Z,2026-07-22T14:55:01.541Z,1.6756863156954447,,,,source-records/watched-cofr-event-driven-shadow-v2-20260722/conclusion.md
3,V3,Watched CO-FR Event-Driven Diagnostic,failed,target_or_audit,,,,,,2026-07-22T14:58:04.000Z,2026-07-22T15:00:32.801Z,2.4800193945566815,,,,source-records/watched-cofr-event-driven-diagnostic-v3-20260722/conclusion.md
4,V4,First-Missing CO-FR Watch,audit,target_or_audit,,,,,,2026-07-22T15:02:26.000Z,2026-07-22T15:03:38.405Z,1.2067516803741456,,,,source-records/watched-cofr-first-missing-v4-20260722/conclusion.md
5,V5,First-Missing CO-FR Profile,audit,target_or_audit,,,,,,2026-07-22T15:07:00.000Z,2026-07-22T15:08:20.476Z,1.3412826935450235,,,,source-records/watched-cofr-first-missing-profile-v5-20260722/conclusion.md
6,V6,Missing-Rule CO-FR Watch,audit,target_or_audit,,,,,,2026-07-22T15:09:54.000Z,2026-07-22T15:11:31.684Z,1.6280807932217916,,,,source-records/watched-cofr-missing-rule-v6-20260722/conclusion.md
7,V7,RF-Activation Watch,audit,target_or_audit,,,,,,2026-07-22T15:14:19.000Z,2026-07-22T15:15:36.436Z,1.290611449877421,,,,source-records/watched-cofr-rf-activation-v7-20260722/conclusion.md
8,V8,RF-Activation 14-Task Gate,audit,target_or_audit,,,,,,2026-07-22T15:16:52.000Z,2026-07-22T15:19:24.155Z,2.5359304348627725,,,,source-records/watched-cofr-rf-activation-14task-v8-20260722/conclusion.md
9,V9,Dynamic Watched-Closure Query,audit,target_or_audit,,,,,,2026-07-22T15:25:38.000Z,2026-07-22T15:28:06.343Z,2.4723941802978517,,,,source-records/watched-closure-dynamic-query-v9-20260722/conclusion.md
10,V10,Watched Callback Extraction,audit,target_or_audit,,,,,,2026-07-22T15:30:59.000Z,2026-07-22T15:33:33.356Z,2.572615472475688,,,,source-records/watched-callback-extraction-v10-20260722/conclusion.md
11,V11,Watched Callback Takeover,audit,target_or_audit,,,,,,2026-07-22T15:45:12.000Z,2026-07-22T15:49:25.572Z,4.226201470692953,,,,source-records/watched-callback-takeover-v11-20260722/conclusion.md
12,V12,Native Callback Ordering,audit,target_or_audit,,,,,,2026-07-22T16:14:06.000Z,2026-07-22T16:17:16.967Z,3.182784903049469,,,,source-records/watched-callback-native-order-v12-20260722/conclusion.md
13,V13,Native Callback Fallback,audit,target_or_audit,,,,,,2026-07-22T16:22:29.000Z,2026-07-22T16:24:26.960Z,1.9660032868385315,,,,source-records/watched-callback-native-fallback-v13-20260722/conclusion.md
14,V14,Immediate Watched Callback,audit,target_or_audit,,,,,,2026-07-22T16:34:54.000Z,2026-07-22T16:40:12.526Z,5.308779700597127,,,,source-records/watched-immediate-callback-v14-20260723/conclusion.md
15,V15,Compact Watched Provenance,audit,target_or_audit,,,,,,2026-07-22T16:45:49.000Z,2026-07-22T16:49:14.125Z,3.4187654495239257,,,,source-records/watched-compact-provenance-v15-20260723/conclusion.md
16,V16,Native Closure Row Skip,audit,target_or_audit,,,,,,2026-07-22T16:56:58.000Z,2026-07-22T17:03:42.889Z,6.748163882891337,,,,source-records/native-closure-row-skip-v16-20260723/conclusion.md
17,V17,Linear Reason Merge,failed,target_or_audit,,,,,,,,,,,,source-records/shallow-prepass-trigger-v47-20260723/conclusion.md
18,V18,Repaired Linear Reason Merge,failed,target_or_audit,,,,,,,,,,,,source-records/shallow-prepass-trigger-v47-20260723/conclusion.md
19,V19,CPU Hotspot Audit,audit,target_or_audit,,,,,,,,,,,,source-records/shallow-prepass-trigger-v47-20260723/conclusion.md
20,V20,Clean Adaptive Residual Profile,audit,target_or_audit,,,,,,,,,,,,source-records/shallow-prepass-trigger-v47-20260723/conclusion.md
21,V21,Native Packed Delta Shadow,audit,target_or_audit,,,,,,2026-07-22T18:44:28.000Z,2026-07-22T19:10:33.000Z,26.083333333333332,,,,source-records/native-packed-delta-shadow-v21-20260723/conclusion.md
